2018,2016,High School Name,County,Grate 12 Enrollment,Student to faculty ratio,# of AP/B subjects offered,% students grades 11-12 taking at least one AP IB course,Total AP/IB tests takenas as a % of total 11-12 graders,% students grades 9-12 taking at least one arts course,% students scoring at or above 530 for math SAT,% students scoring at or above 480 for reading & writing SAT,% students taking one or more exam who scored at least one AP 3+ or IB 4+,4 year adjusted cohort graduation rate,% students enrolled in college 16 months after HS
276,266,Kearny,Hudson,431,14,14,25.9,32.99,53,42,70,7.5,91.8,66.8
277,290,Winslow Township,Camden,289,11,17,25.9,45.6,37,33,69,7.7,76.7,67.1
278,269,Orange,Essex,268,10,11,19.6,29.05,79,12,25,7.3,91.2,56.7
279,303,William L. Dickinson (Jersey City),Hudson,443,11,14,34,42.22,42,37,48,7.6,78.4,73.7
280,280,American History (Newark),Essex,69,12,9,42.5,67.16,29,20,56,8.2,90.1,75
281,267,Hillside,Union,207,11,7,26.5,33.73,59,28,56,7.2,87.7,73.5
282,294,Garfield,Bergen,209,10,6,18.9,19.77,51,47,59,6.4,81.5,69.2
283,257,Hamilton North-Nottingham,Mercer,309,13,18,28.5,13.24,56,35,66,4.3,88.1,72.1
284,289,Cliffside Park,Bergen,242,12,7,13.7,17.46,46,51,75,5,82.4,75
285,314,Passaic No. 12,Passaic,658,15,22,43,72.97,35,16,29,10.7,78.5,50
286,240,Cumberland Regional (Bridgeton),Cumberland,283,14,6,37.3,8.67,54,46,72,4.8,88,63.8
287,202,Millville Senior,Cumberland,400,13,18,26.2,12.1,42,46,76,3.6,87.3,52.3
288,286,Neptune,Monmouth,320,13,12,14.4,17.28,66,38,66,5.8,80.4,68.8
289,287,Pennsauken,Camden,311,12,13,20.9,15.05,67,36,56,5.1,83.7,59.6
290,273,Perth Amboy,Middlesex,399,10,13,14.5,18.72,53,28,45,7.1,75.9,63.4
291,N/A,Belleville,Essex,309,12,12,19.6,22.31,39,45,66,6.2,85.1,70.4
292,285,Lindenwold,Camden,118,11,10,14.8,24.35,56,36,50,4.4,75.2,57.4
293,210,Leap Academy University (Camden)  C,Camden,118,14,1,6.4,0,59,10,30,0,99.2,74.1
294,322,Lakewood,Ocean,213,11,7,29,39.35,61,11,33,2.6,75.7,44.5
295,296,Memorial (West New York),Hudson,446,13,10,15.3,18.56,45,31,56,9.4,79.1,71.6
296,309,James J. Ferris (Jersey City)  IB,Hudson,246,10,14,19.9,21.68,36,13,27,3.7,81.2,62.8
297,283,Passaic County-Manchester Regional (Haledon),Passaic,182,13,7,12.6,10.72,52,37,54,5.4,79.7,73.3
298,293,Union CityIB,Hudson,775,16,15,12.8,13.32,42,29,48,6.5,85.4,71.7
299,252,North Bergen,Hudson,494,14,9,4.6,7.97,49,26,59,3.5,85.4,77.4
300,330,Architecture & Construction Trades (Paterson),Passaic,120,10,5,0,0,51,16,24,0,79.6,52.9
301,300,Bridgeton,Cumberland,237,13,8,18.4,24.29,57,24,49,2,73.2,56.9
302,307,Trenton Central-West Campus,Mercer,142,12,6,9.5,19.25,52,10,34,7.6,85.7,51.6
303,321,East Side (Newark)  IB,Essex,439,15,18,17.1,21.36,44,16,23,3.8,76.9,50
304,327,Plainfield,Union,337,15,9,8.1,8.27,52,16,34,1.6,70.8,42.2
305,326,School Of Business Technology (Paterson),Passaic,117,12,5,9.5,0,31,15,26,0,83.9,69.7
